tract,amenity
42101000101,0.0080990347253536
42101000102,0.00878515564085805
42101000200,0.00841022472121176
42101000300,0.0105164158077123
42101000401,0.00845007610497653
42101000403,0.00697886617224306
42101000404,0.0086721342473045
42101000500,0.00858514095620229
42101000600,0.00823362667248852
42101000701,0.00828830940170564
42101000702,0.006591109410283
42101000801,0.00653056442394796
42101000803,0.00860930290522424
42101000805,0.00760900833086736
42101000806,0.0085617378070981
42101000901,0.00782400335134451
42101000902,0.00759882378904176
42101001001,0.00828019983767191
42101001002,0.00922311035014786
42101001101,0.00887852507283902
42101001102,0.0086561563123172
42101001201,0.00890426241654907
42101001203,0.0070907625070569
42101001204,0.00886911559027526
42101001301,0.00676439399704177
42101001302,0.00988794069894413
42101001400,0.00943511763962185
42101001500,0.00831817730127812
42101001600,0.00798122572969683
42101001700,0.00780594913415385
42101001800,0.00853726182972423
42101001900,0.00956033376901086
42101002000,0.00760794769835776
42101002100,0.0077962368847914
42101002200,0.00785037221428502
42101002300,0.00784638663956477
42101002400,0.0100447411410327
42101002500,0.00846600579307675
42101002701,0.00770604266979344
42101002702,0.0086649515535047
42101002801,0.00796418281988618
42101002802,0.00929588518380091
42101002900,0.00947989682914869
42101003001,0.00828962090512222
42101003002,0.0082214106188428
42101003100,0.00926256122897342
42101003200,0.008821803014428
42101003300,0.00942092038584968
42101003600,0.00870453410497771
42101003701,0.00905039367206249
42101003702,0.00783287719638719
42101003800,0.0082922308182122
42101003901,0.00957531753793647
42101003902,0.00921846112448581
42101004001,0.00888308956051715
42101004002,0.00911705023396367
42101004101,0.00861078721055225
42101004103,0.00684552612473036
42101004104,0.00692700215446349
42101004201,0.00887116691409073
42101004202,0.00866216018760635
42101005400,0.00382245779480038
42101005500,0.00711419158228846
42101005600,0.00414189849050778
42101006000,0.00748202277941356
42101006100,0.006296286281805
42101006200,0.00678366492723129
42101006300,0.00612364447942795
42101006400,0.0065317816694399
42101006500,0.00697679612277817
42101006600,0.00613695416968404
42101006700,0.0080548852853999
42101007000,0.00677643969054523
42101007101,0.00610296030643769
42101007102,0.0072979340386636
42101007200,0.00742180609212574
42101007300,0.0070897144793414
42101007400,0.00753809367788934
42101007700,0.00625514118107328
42101007800,0.00853742442645806
42101007900,0.00853056511105618
42101008000,0.00780077537002988
42101008101,0.00629440368861509
42101008102,0.00747787794229945
42101008200,0.00772646823227278
42101008301,0.00668062479333588
42101008302,0.00729580485822538
42101008400,0.00766413962890664
42101008500,0.00879494282157231
42101008601,0.00711247445449595
42101008602,0.00743372829834021
42101008701,0.00811434627580991
42101008702,0.0076376409638184
42101008801,0.00477779075260027
42101008802,0.00672068266377052
42101009000,0.00710981267799691
42101009100,0.00767055805193745
42101009200,0.00788172398147048
42101009300,0.0073717782818269
42101009400,0.00687545492811304
42101009500,0.00713000718738073
42101009600,0.00682779507892224
42101009801,0.00581777632655926
42101009802,0.00758762843210286
42101010000,0.0074680186334159
42101010100,0.00778217348253539
42101010200,0.00650330849606509
42101010300,0.00620509586580177
42101010400,0.00725202612550409
42101010500,0.00718657162134759
42101010600,0.0059590918024103
42101010700,0.00745754051624256
42101010800,0.00776525231655601
42101010900,0.00678846036132926
42101011000,0.00745095400982175
42101011100,0.00773070884658106
42101011200,0.00813598380914028
42101011300,0.00652882066100657
42101011400,0.00814697820066195
42101011500,0.00721969446604066
42101011700,0.00463243604975248
42101011800,0.00797527427539695
42101011900,0.00768436162986561
42101012000,0.00570480097746773
42101012100,0.0067114690382857
42101012201,0.00645276238005562
42101012203,0.00475358164283561
42101012204,0.00751386605345036
42101012501,0.00821940709635044
42101012502,0.00928713741444966
42101013100,0.00680574124775194
42101013200,0.0085857458421344
42101013300,0.00968485613861337
42101013401,0.00774545722732879
42101013402,0.00873559606926214
42101013500,0.00931776216142699
42101013601,0.00823317471541206
42101013602,0.00868385271248969
42101013701,0.00735930177333281
42101013702,0.00910668175283676
42101013800,0.00765774550625348
42101013900,0.00790088012964304
