tract,prod
42101000101,5.06490545968001
42101000102,2.4460736359085
42101000200,5.95362186851886
42101000300,6.27645803513374
42101000401,4.66318955179148
42101000403,7.03752387254758
42101000404,7.22268512403834
42101000500,7.20211714338558
42101000600,5.4301612553915
42101000701,4.72795598359046
42101000702,2.09598576445368
42101000801,1.32351714989331
42101000803,2.18306615828832
42101000805,2.88762017061913
42101000806,3.83400956760783
42101000901,2.56943296485196
42101000902,3.75397974720061
42101001001,3.30771466234042
42101001002,3.40888219208932
42101001101,1.76534207892816
42101001102,3.22127337279651
42101001201,1.90048666872678
42101001203,1.79439684518781
42101001204,2.72900478437507
42101001301,0.968208628070415
42101001302,2.23625356337572
42101001400,2.06778093624354
42101001500,1.8813754833145
42101001600,2.24126190817023
42101001700,1.61280339433417
42101001800,1.93525147267255
42101001900,2.16372362729334
42101002000,1.40928664055172
42101002100,1.71051537508671
42101002200,1.48091151788482
42101002300,1.57996863947233
42101002400,2.75484833410119
42101002500,1.63322639411948
42101002701,1.12599503478257
42101002702,1.73748961781434
42101002801,1.3286961063819
42101002802,1.93779659892163
42101002900,2.2694181851376
42101003001,1.83020025799779
42101003002,1.15288268467399
42101003100,1.33400052021352
42101003200,1.51945976070172
42101003300,2.25742742724992
42101003600,1.65467574006539
42101003701,1.3682948001669
42101003702,1.70740478729182
42101003800,2.32389967186553
42101003901,2.35050136379701
42101003902,2.13649105237746
42101004001,2.02298948155335
42101004002,2.27197156261865
42101004101,1.88884290704377
42101004103,1.2380981034077
42101004104,1.28749951545146
42101004201,1.39311300412201
42101004202,2.28481212244345
42101005400,0.456988240791633
42101005500,1.22027792444647
42101005600,1.12953251606326
42101006000,1.46347656640124
42101006100,1.13258731204842
42101006200,1.34472964823394
42101006300,1.36851375684603
42101006400,1.18217264711403
42101006500,1.30838468387647
42101006600,1.39132431726381
42101006700,1.31759608903076
42101007000,1.21866338252442
42101007101,1.44262787295391
42101007102,1.27315936009807
42101007200,1.52836475556558
42101007300,1.1966259746169
42101007400,1.53773013709025
42101007700,1.80777624390766
42101007800,1.83671147553038
42101007900,1.39539373943651
42101008000,1.52161870071689
42101008101,1.04233046297629
42101008102,1.14322762868295
42101008200,1.19163369609048
42101008301,1.43877748609758
42101008302,1.41269109550986
42101008400,1.76135824924509
42101008500,1.83462096269237
42101008601,1.30269419803284
42101008602,1.75748535959226
42101008701,1.55153054072522
42101008702,2.62681554677117
42101008801,1.82781445175633
42101008802,2.16055484590041
42101009000,1.91900268454424
42101009100,3.32091407080075
42101009200,1.41319059881896
42101009300,1.13115248819833
42101009400,1.15133383840905
42101009500,1.6296068819087
42101009600,1.16361697030528
42101009801,1.34725025994561
42101009802,1.47284495844165
42101010000,1.51202177440875
42101010100,1.31243776546347
42101010200,1.15807096966532
42101010300,1.20648003842286
42101010400,1.85728161923498
42101010500,1.97422495213942
42101010600,1.3989045474252
42101010700,1.52304593027542
42101010800,1.25990330289106
42101010900,1.23236662306245
42101011000,1.59727134770149
42101011100,2.77894735626426
42101011200,1.49201946974574
42101011300,1.13650866165127
42101011400,1.40638540494654
42101011500,1.19533387400748
42101011700,1.49082722188987
42101011800,1.54527372654899
42101011900,1.30499516946503
42101012000,1.40686394637146
42101012100,2.04322594642407
42101012201,1.24556305505359
42101012203,1.8070740397806
42101012204,2.98166914060907
42101012501,3.98081705918719
42101012502,2.79467350456371
42101013100,1.63960287919683
42101013200,2.16559462067903
42101013300,2.88174923141522
42101013401,1.79492106817697
42101013402,2.09916937759937
42101013500,1.70849680441716
42101013601,1.90154525345449
42101013602,1.32432892939959
42101013701,1.54720246046309
42101013702,1.65036025628381
42101013800,1.72544966935811
42101013900,2.79891174376221
42101014000,1.71179924110719
42101014100,3.58100601408533
42101014201,1.9956375307193
42101014202,3.19029410530371
42101014300,2.36923245831603
42101014400,3.45340644929459
42101014500,2.1060171062905
42101014600,2.18018383575842
42101014700,1.9388709765585
42101014800,1.45400560129091
42101014900,1.54961847077558
42101015101,1.37306740538516
42101015102,1.69206325043208
42101015200,1.96947870908513
42101015300,1.53484312898739
42101015600,1.9060311302516
42101015700,2.33590818521352
42101015800,2.70018842742794
42101016001,1.77554638450308
42101016002,1.94380045896122
42101016100,2.3284981992947
42101016200,1.40007761985143
42101016300,2.47912180916046
42101016400,1.80738135425817
42101016500,1.37844271052896
42101016600,1.64279670788591
42101016701,0.84743514226314
42101016702,1.8983148541676
42101016800,1.74031759013008
42101016901,1.5361296462643
42101016902,1.62964081181218
42101017000,3.23665929330376
42101017100,2.60287305523841
42101017201,1.63083050379671
42101017202,1.31306732414841
42101017300,2.01581376001863
42101017400,2.46621070326466
42101017500,1.98175883301558
42101017601,2.45102349375124
42101017602,2.10107225648398
42101017701,1.67737697819314
42101017702,1.50146581040691
42101017800,2.73517603603131
42101017900,2.15725167165651
42101018001,1.36458739111619
42101018002,1.76595288851635
42101018300,1.98484138123103
42101018400,1.71747796705108
42101018801,1.63162770109021
42101018802,1.30499255116394
42101019000,2.13910151430464
42101019100,2.67166345414614
42101019200,1.88940036152576
42101019501,2.97621121480726
42101019502,1.26250948450514
42101019700,2.45412962707207
42101019800,1.73457058328686
42101019900,1.81226238767607
42101020000,4.04526299242341
42101020101,2.76952592226881
42101020102,2.06411324406347
42101020200,1.76389520501335
42101020300,2.24619385345017
42101020400,1.46090327953576
42101020500,2.01757288088937
42101020600,2.7265021248367
42101020701,2.02261791338707
42101020702,1.18037071792031
42101020800,2.06496552253072
42101020900,1.81282445190322
42101021000,2.28520170240419
42101021100,2.00393785898806
42101021200,1.51286301427044
42101021300,1.83167698701655
42101021400,1.89375898123725
42101021500,1.56163533476224
42101021600,1.63993838659383
42101021700,2.12605280789264
42101021800,1.40790753654255
42101021900,1.1019772349683
42101022000,1.40072064836217
42101023100,1.20434530216831
42101023500,0.928784957256705
42101023600,1.79865652507388
42101023700,2.18208583638926
42101023800,1.99190645339035
42101023900,1.29623117929246
42101024000,2.08752932731754
42101024100,2.33501075746129
42101024200,1.85754491091795
42101024300,1.59315021020409
42101024400,1.49906740509358
42101024500,2.18616965958056
42101024600,1.99019026903144
42101024700,1.61630048019262
42101024800,1.06673461049774
42101024900,1.02569371449226
42101025200,2.19597199205
42101025300,1.53755932591026
42101025400,1.03566385242024
42101025500,1.49865913874571
42101025600,1.34939197636339
42101025700,1.66782960025645
42101025800,0.803689293258339
42101025900,1.85534513590134
42101026000,0.985595355140303
42101026100,1.35964691496716
42101026200,1.1985488462876
42101026301,1.04040484403327
42101026302,1.64580553595407
42101026400,1.53584797247791
42101026500,1.48543647622859
42101026600,1.44161598306024
42101026700,1.81788634468511
42101026800,2.1696750387342
42101026900,1.44842792172017
42101027000,1.0394327967035
42101027100,0.931624296954742
42101027200,1.55997005573617
42101027300,2.48712294744165
42101027401,1.5816873095647
42101027402,1.16865351919433
42101027500,1.69444853216265
42101027600,1.70787551530857
42101027700,1.46407095721901
42101027800,3.40459793592374
42101027901,1.08114629705495
42101027902,1.92169749762
42101028000,1.52204464131401
42101028100,1.78161075416678
42101028200,4.11550826024123
42101028300,2.38239936948745
42101028400,1.31894150182625
42101028500,1.31122628655298
42101028600,1.90128202119745
42101028700,1.5330070595421
42101028800,1.58091987921803
42101028901,1.75753085185304
42101028902,1.11103952575616
42101029000,1.52339977554299
42101029100,2.49858081437529
42101029200,2.11992136044101
42101029300,2.24174852340949
42101029400,1.67641245859988
42101029800,2.30892934776451
42101029900,1.50192787394814
42101030000,2.73500887933259
42101030100,1.49110296273457
42101030200,2.00601813831667
42101030501,1.34275084067653
42101030502,1.426821733607
42101030600,2.3232516165099
