tract,var,value
42101000101,w_tract,3.01089835212638
42101000102,w_tract,0.956719420381389
42101000200,w_tract,3.33947030814666
42101000300,w_tract,3.45410298888674
42101000401,w_tract,2.77069073101324
42101000403,w_tract,3.78137700722077
42101000404,w_tract,3.84347681025458
42101000500,w_tract,3.84252415121525
42101000600,w_tract,3.17650181253275
42101000701,w_tract,2.82140621740114
42101000702,w_tract,0.704843250817876
42101000801,w_tract,-0.77542123640142
42101000803,w_tract,0.667156156675692
42101000805,w_tract,1.57051208328055
42101000806,w_tract,2.30104311954605
42101000901,w_tract,1.23741788883186
42101000902,w_tract,2.28122477420162
42101001001,w_tract,1.95597943884417
42101001002,w_tract,2.02700029376269
42101001101,w_tract,-0.0345730810093763
42101001102,w_tract,1.88107214736086
42101001201,w_tract,0.208037448073686
42101001203,w_tract,0.210420928950181
42101001204,w_tract,1.37672089479681
42101001301,w_tract,-1.84814525605199
42101001302,w_tract,0.721972728667179
42101001400,w_tract,0.471328995181237
42101001500,w_tract,0.292226867105367
42101001600,w_tract,0.925992177072954
42101001700,w_tract,-0.11916272369691
42101001800,w_tract,0.38421904485023
42101001900,w_tract,0.65052071221187
42101002000,w_tract,-0.546659969258595
42101002100,w_tract,0.0926799707529293
42101002200,w_tract,-0.415474568543938
42101002300,w_tract,-0.152968053271204
42101002400,w_tract,1.45542357749487
42101002500,w_tract,-0.09598190970219
42101002701,w_tract,-1.25389394822155
42101002702,w_tract,0.192333148517245
42101002801,w_tract,-0.691463219593045
42101002802,w_tract,0.460990644336225
42101002900,w_tract,0.954255605221019
42101003001,w_tract,0.393047910507881
42101003002,w_tract,-1.31964230984033
42101003100,w_tract,-0.904421795105639
42101003200,w_tract,-0.358498973776836
42101003300,w_tract,0.953594982724775
42101003600,w_tract,0.0918528493627915
42101003701,w_tract,-0.677969784316743
42101003702,w_tract,0.309343641893086
42101003800,w_tract,1.3724636060821
42101003901,w_tract,1.18699891494847
42101003902,w_tract,1.01534408859835
42101004001,w_tract,0.734005528369643
42101004002,w_tract,1.18547745098076
42101004101,w_tract,0.569425044466537
42101004103,w_tract,-0.618928502162191
42101004104,w_tract,-0.420968102636145
42101004201,w_tract,-0.541045275953105
42101004202,w_tract,1.31283889404249
42101005400,w_tract,-2.64663802812352
42101005500,w_tract,-0.138453159491693
42101005600,w_tract,0.269354690705797
42101006000,w_tract,0.32364157153265
42101006100,w_tract,-0.520979626460735
42101006200,w_tract,-0.0139164582308789
42101006300,w_tract,0.197604992681942
42101006400,w_tract,-0.447306371094194
42101006500,w_tract,-0.35057952651157
42101006600,w_tract,0.0474989130787911
42101006700,w_tract,-0.415389450486284
42101007000,w_tract,-0.666052293786001
42101007101,w_tract,0.0199941173426978
42101007102,w_tract,-0.609830135014349
42101007200,w_tract,0.0148465731438409
42101007300,w_tract,-0.896475184302762
42101007400,w_tract,-0.0774844189497912
42101007700,w_tract,0.501892107953302
42101007800,w_tract,0.345975338781741
42101007900,w_tract,-0.667480299278223
42101008000,w_tract,-0.168240844938894
42101008101,w_tract,-1.18138678743561
42101008102,w_tract,-1.09545709885493
42101008200,w_tract,-0.851577709569804
42101008301,w_tract,-0.0647650404160856
42101008302,w_tract,-0.262908902402247
42101008400,w_tract,0.376721769210172
