r_id,ΦR
42101000101,554.4318813791735
42101000102,555.8858839975685
42101000200,584.2971020381855
42101000300,588.4924639450786
42101000401,581.5386894338188
42101000403,594.4925186390396
42101000404,592.3393651925559
42101000500,586.9730800293263
42101000600,582.8777573123435
42101000701,590.6115353620639
42101000702,578.2610042999517
42101000801,570.4437798855475
42101000803,580.742915569972
42101000805,585.6443144897206
42101000806,585.8811444370456
42101000901,583.0343498560741
42101000902,573.753343994741
42101001001,557.7896659350002
42101001002,541.8656906693739
42101001101,573.4540232405832
42101001102,564.1407933994353
42101001201,564.4265529592241
42101001203,574.324693343721
42101001204,576.6940943272386
42101001301,542.3465459954109
42101001302,544.2536122888018
42101001400,564.3989926326344
42101001500,558.376958998119
42101001600,531.0739598997019
42101001700,522.2187842416711
42101001800,550.7606111428561
42101001900,552.6536827152153
42101002000,528.9747082618834
42101002100,536.7781333044088
42101002200,538.6567699396277
42101002300,531.3158820128533
42101002400,537.2016135037702
42101002500,511.43439809790846
42101002701,494.07976305771456
42101002702,485.03985868817796
42101002801,500.0588899121475
42101002802,503.68696028802395
42101002900,514.1367542767697
42101003001,506.35264320344385
42101003002,522.4987594971232
42101003100,515.7538348336639
42101003200,509.05621204466485
42101003300,502.7359402951731
42101003600,476.7185328735121
42101003701,493.48953289404585
42101003702,478.56101641670057
42101003800,453.1358018566624
42101003901,483.2333094852323
42101003902,452.2962398690363
42101004001,483.8733700711102
42101004002,462.6963049225059
42101004101,476.1181289912936
42101004103,460.73412232759614
42101004104,450.0937487887472
42101004201,463.05305725789566
42101004202,441.997625042356
42101005400,244.5875833928895
42101005500,296.20092525812044
42101005600,286.5146220223297
42101006000,326.3465926985611
42101006100,355.4766880717875
42101006200,353.57787114315283
42101006300,340.193930276431
42101006400,341.94128283057756
42101006500,374.2472739646849
42101006600,382.8398985423061
42101006700,387.78387666423123
42101007000,418.8283939575022
42101007101,412.7596323253891
42101007102,405.9789943221837
42101007200,393.4246499353033
42101007300,427.0403210347999
42101007400,452.29666135098597
42101007700,481.7198193000976
42101007800,453.21340390956675
42101007900,448.98862202706295
42101008000,418.8032227760174
42101008101,386.5342105511715
42101008102,392.9718643720882
42101008200,356.65539857828463
42101008301,354.0807864425602
42101008302,370.614604369651
42101008400,390.03646544996224
42101008500,420.48307909481343
42101008601,455.8133704389229
42101008602,454.9190485157457
42101008701,477.9206111748452
42101008702,490.5516333474724
42101008801,520.9146591859117
42101008802,505.99084883950064
42101009000,542.6401240535671
42101009100,519.0319107774397
42101009200,485.1965309499152
42101009300,426.4902527686415
42101009400,398.4036764367711
42101009500,378.2874211715187
42101009600,360.8543610360332
42101009801,286.4486559706198
42101009802,285.27837903411137
42101010000,336.17988067162804
42101010100,358.56058238496655
42101010200,396.30324482739985
42101010300,416.6296085114887
42101010400,440.01034274850775
42101010500,454.8021201252566
42101010600,478.0174851446235
42101010700,474.11804917674834
42101010800,503.57248689710843
42101010900,527.141605104284
42101011000,467.2574523093924
42101011100,418.3308877067775
42101011200,383.86055142083785
42101011300,371.959704741719
42101011400,344.2638186611964
42101011500,326.27717162669603
42101011700,336.8593000825717
42101011800,360.4551938021047
42101011900,377.69906281873403
42101012000,356.91879479051306
42101012100,373.28675963969124
42101012201,383.3434393649378
42101012203,373.66175415015164
42101012204,383.21613346787
42101012501,582.977942428723
42101012502,571.9709914740062
42101013100,554.4510994029598
42101013200,561.7029362534837
42101013300,564.6686563564252
42101013401,559.6104966662731
42101013402,567.7911249277129
42101013500,553.9991961137363
42101013601,544.6746635679759
42101013602,534.2162362699572
42101013701,502.0476363954934
42101013702,513.9934671472648
42101013800,522.5348418892947
42101013900,533.7385515617467
42101014000,541.8245609779221
42101014100,542.7936512777964
42101014201,532.3740432346281
42101014202,509.509776010017
42101014300,483.7015866709911
42101014400,516.23954126796
42101014500,522.4774021951176
42101014600,528.5677291066547
42101014700,524.807651470468
42101014800,517.1396769232439
42101014900,500.5577206936068
42101015101,474.992620754565
42101015102,486.89005431399335
42101015200,498.4763483426328
42101015300,507.1651930217277
42101015600,504.2200658701653
42101015700,493.8626260944306
42101015800,486.8757470307707
42101016001,458.83961694239855
42101016002,464.89655720459837
42101016100,464.0155065359056
42101016200,485.83409976460337
42101016300,467.7570798980312
42101016400,477.889187657252
42101016500,485.3812475267547
42101016600,488.17316061164496
42101016701,482.4525858009407
42101016702,485.0708580897891
42101016800,478.5767133442535
42101016901,468.10577639001394
42101016902,456.3957471427818
42101017000,415.76235449779676
42101017100,436.7247484748641
42101017201,453.23954374351524
42101017202,451.48451547837556
42101017300,458.98986371769377
42101017400,464.8930952586338
42101017500,456.0981090331429
42101017601,455.6554226166838
42101017602,443.65341212863007
42101017701,421.04645378725087
42101017702,435.1895025659862
42101017800,430.7655347465118
42101017900,429.6757089453324
42101018001,433.7377502681443
42101018002,415.94553387670845
42101018300,333.6083709595438
42101018400,311.1289110400264
42101018801,404.39309010098185
42101018802,389.045591238833
42101019000,368.04013799539484
42101019100,381.0213681808221
42101019200,410.5507544799591
42101019501,436.3678051613006
42101019502,427.1217145075446
42101019700,400.55156822574025
42101019800,418.31691880321085
42101019900,435.8644125282657
42101020000,446.5488053524278
42101020101,443.641362061076
42101020102,420.4613411660423
42101020200,428.4983776027087
42101020300,415.656062453179
42101020400,394.320857469338
42101020500,403.62729411834516
42101020600,380.83798457169684
42101020701,394.29967357704345
42101020702,377.1205749534978
42101020800,360.887359561474
42101020900,346.33988745977484
42101021000,321.5911542088321
42101021100,329.3128054817815
42101021200,299.0546596411
42101021300,297.12380967373076
42101021400,296.51600444354784
42101021500,274.53692014862264
42101021600,246.26807975694442
42101021700,259.3320292820696
42101021800,222.05172639034313
42101021900,219.81878771298665
42101022000,196.921169694328
42101023100,234.32226307066938
42101023500,302.7813978174407
42101023600,301.10038701124137
42101023700,291.1380352298023
42101023800,323.2118910694609
42101023900,332.5773653855416
42101024000,357.08485077866175
42101024100,345.0220971905312
42101024200,363.0370946813105
42101024300,382.6723641365103
42101024400,376.8510579587098
42101024500,352.82766876639295
42101024600,332.50726077946643
42101024700,327.45827550846866
42101024800,311.56119745915487
42101024900,302.35813194177956
42101025200,305.5060300965417
42101025300,281.6182896190868
42101025400,269.1020852644848
42101025500,258.4375527422639
42101025600,243.4434773162176
42101025700,225.7402973880517
42101025800,231.2047310450017
42101025900,220.364018309065
42101026000,232.28096082152945
42101026100,243.5418343271673
42101026200,256.69759199914665
42101026301,242.6802603761716
42101026302,255.21270747611828
42101026400,270.08308024866676
42101026500,282.71841755765575
42101026600,271.1620117825728
42101026700,295.0402725437336
42101026800,293.2322757145264
42101026900,292.3291404488125
42101027000,309.3384802841361
42101027100,305.93127184673153
42101027200,309.252675572862
42101027300,331.15572433678136
42101027401,336.6437768250403
42101027402,333.7135633562208
42101027500,334.3494057508881
42101027600,328.2022380295382
42101027700,306.4114056654913
42101027800,330.10427723078504
