w_id,ΦW
42101000101,382.04567147425297
42101000102,389.5414989244525
42101000200,398.170628864444
42101000300,403.32297258550096
42101000401,397.7965811047085
42101000403,397.4852221602157
42101000404,398.3566475585477
42101000500,393.1863959664625
42101000600,388.89345449262436
42101000701,394.1519865648428
42101000702,394.03957693445585
42101000801,390.3295145597133
42101000803,391.4496363524341
42101000805,391.0207655141704
42101000806,390.0619161024314
42101000901,388.1195798169849
42101000902,383.838868045734
42101001001,377.05525038977856
42101001002,370.8198961450449
42101001101,382.8967091139699
42101001102,378.30604596374155
42101001201,385.58935721547857
42101001203,386.50540565009874
42101001204,385.65982363385126
42101001301,373.02192499219007
42101001302,376.1789314302491
42101001400,380.4765877234215
42101001500,375.05146528145116
42101001600,362.3721293157099
42101001700,356.912915514281
42101001800,371.1141432557193
42101001900,374.5737618085074
42101002000,366.2459033528139
42101002100,367.5863529277465
42101002200,366.6041168097605
42101002300,361.1530314285062
42101002400,363.9764029417124
42101002500,350.04084872136787
42101002701,339.07949742446334
42101002702,333.63722752262765
42101002801,342.73631556936766
42101002802,345.1665326412376
42101002900,351.878709743659
42101003001,348.42121627541
42101003002,357.8795877436895
42101003100,355.890668801233
42101003200,354.6132586613511
42101003300,357.4445995840638
42101003600,336.3750627036471
42101003701,342.74973043094394
42101003702,333.14312234593945
42101003800,314.8923097007182
42101003901,333.68472178788136
42101003902,311.8189717873631
42101004001,332.94023823875136
42101004002,318.32691790251744
42101004101,327.2861683580304
42101004103,316.571309910586
42101004104,308.8428193007795
42101004201,318.66161050710633
42101004202,303.4664339442223
42101005400,178.6541580428554
42101005500,226.26027235994428
42101005600,211.96222441628476
42101006000,248.4797768615777
42101006100,267.65119022464245
42101006200,272.199868116331
42101006300,266.5759008391787
42101006400,272.06582943781325
42101006500,302.6106349111251
42101006600,298.82069711862556
42101006700,295.10174536549044
42101007000,322.96477088700624
42101007101,324.0975656329857
42101007102,324.4092755488324
42101007200,322.44059159640403
42101007300,338.8894895504093
42101007400,343.6571575390309
42101007700,360.61053977727215
42101007800,351.4200160921209
42101007900,354.9359094312015
42101008000,342.2641042560518
42101008101,322.90101059451996
42101008102,330.83606223764514
42101008200,305.2227997405892
42101008301,312.2330424416423
42101008302,322.2056629140027
42101008400,335.2622036313783
42101008500,350.0597369587861
42101008601,361.42770066757475
42101008602,364.8276036840654
42101008701,368.89146876310565
42101008702,373.11147950780946
42101008801,381.94064051949385
42101008802,376.4544716283919
42101009000,395.83465348052505
42101009100,389.07764138315895
42101009200,379.46856938613075
42101009300,358.52207149892433
42101009400,345.2680080859857
42101009500,336.05521087105444
42101009600,324.470866877998
42101009801,276.29416926524243
42101009802,273.2183486038378
42101010000,311.9532544341836
42101010100,329.07131381798354
42101010200,348.70316893258894
42101010300,359.1783512938638
42101010400,367.88889743300183
42101010500,375.3943815465741
42101010600,382.38474321107117
42101010700,385.9480099760873
42101010800,393.516445923518
42101010900,400.16233722631785
42101011000,389.0574046885164
42101011100,367.02040095950406
42101011200,346.56215463025717
42101011300,343.46862479404035
42101011400,326.0597218240315
42101011500,309.6128382050829
42101011700,328.94607509781906
42101011800,341.3208488030705
42101011900,353.7884191770106
42101012000,348.1811457727223
42101012100,361.14845940552846
42101012201,381.94450978479495
42101012203,379.73066985571097
42101012204,375.816120356079
42101012501,408.04172964530926
42101012502,408.12975648676496
42101013100,409.81612984414016
42101013200,414.0040768553185
42101013300,415.5637685503581
42101013401,412.4512166582568
42101013402,413.7755004029758
42101013500,417.74374069109524
42101013601,413.47056987662296
42101013602,414.7283244670499
42101013701,412.8850496086071
42101013702,416.35070440376046
42101013800,420.0000673296404
42101013900,422.21683200875805
42101014000,422.95806731247546
42101014100,418.4916532774089
